taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11
88626,2025,1,2,28,28,1,116365.203125,9321.626953125,202.86041259765625,0.0,0.0,137.70924377441406,-98.77363586425781,-12162.6982421875,0,0,28.487642288208008,0.0,0.0,0.0,0,9793.854258121159,0.0,0,0.0,0.0,-39972.48828125,2,1.0,,,,,,,,,,
88627,2025,1,1,58,0,0,0.0,-464742.3125,0.0,0.0,0.0,0.0,-1399390.875,-15458.3876953125,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-5298566.5,2,,,,,,,,,,,
88628,2025,1,2,79,80,0,0.0,-15305.75,0.0,0.0,0.0,20.209228515625,-590133.7724609375,-11280.94921875,0,0,0.0,23596.450374531832,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-2964332.0,2,,,,,,,,,,,
88629,2025,1,2,29,34,4,32157.681640625,0.0,1604846.25,0.0,43998.55771064754,27296.59147071829,0.0,431726.28124999814,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,908294.3749999974,2,6.0,4.0,3.0,1.0,,,,,,,
88630,2025,1,1,58,0,0,0.0,-464742.3125,0.0,0.0,0.0,0.0,-1399390.875,-15458.3876953125,0,0,0.0,0.0,0.0,0.0,0,6121.158911325723,0.0,0,0.0,0.0,-5298566.5,2,,,,,,,,,,,
88631,2025,1,2,75,76,0,6881.6474609375,0.0,8849.435546875,0.0,8608.476383954287,1928.2783527374268,0.0,54493.84375,0,0,5422.87841796875,45846.51685393258,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14.851425170898438,2,,,,,,,,,,,
88632,2025,1,2,50,22,1,137798.9375,0.0,462.216064453125,0.0,68.7711410522461,155.35020446777344,0.0,151.74716186523438,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,6.0,,,,,,,,,,
88633,2025,1,1,77,0,0,6801.964355468741,0.0,0.0,0.0,15944.378906249965,2202.805908203125,0.0,46103.964843749745,0,0,18618.63867187495,22849.707865168537,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88634,2025,1,1,49,0,1,0.0,-9018.7177734375,0.0,0.0,0.0,0.0,-94.919921875,-352.5597229003906,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,15.0,,,,,,,,,,
88635,2025,1,2,23,24,2,3494.667724609375,0.0,18724.197265625,0.0,0.0,0.0,-13548.1650390625,0.0,0,0,0.0,0.0,0.0,0.0,0,4652.08077260755,0.0,0,0.0,0.0,0.0,2,4.0,1.0,,,,,,,,,
88636,2025,1,2,67,70,0,22192.947265625,0.0,0.0,-2151879.0,208.06375122070312,51.474727630615234,-3499833.25,-224169.75,0,0,0.0,10910.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-1580104.625,2,,,,,,,,,,,
88637,2025,1,2,68,69,0,7244527.5,66078.1484375,0.0,0.0,1157418.625,3627642.440501213,485739.71240234375,21341836.0,0,0,61096.66015625,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4190693.75,2,,,,,,,,,,,
88638,2025,1,2,52,52,0,453789.09375,13153.9873046875,1515.283447265625,-253.54629516601562,69941.5703125,18692.587890625,-621.3738403320312,786340.0625,0,0,21626.15234375,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,167168.7547607422,2,,,,,,,,,,,
88639,2025,1,2,29,28,0,531099.0,0.0,13685.767578125,0.0,52193.99218749997,16136.835130691527,0.0,160776.14062499994,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1035078.2499999979,2,,,,,,,,,,,
88640,2025,1,1,85,0,0,2139117.0,553217.8125,0.0,0.0,18356476.0,711061.75,2847597.75,24285940.0,0,0,580203.3125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5789027.5,2,,,,,,,,,,,
88641,2025,1,2,65,65,0,0.0,0.0,0.0,0.0,0.0,0.0,-25225.480712890625,0.0,0,0,0.0,53200.55149812734,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-612.875,2,,,,,,,,,,,
88642,2025,1,2,44,45,0,23977.869140625,0.0,93923.3125,0.0,20.096847534179688,15.922245562076569,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88643,2025,1,2,57,54,0,284336.75,38833.94921875,776819.0,1298387.125,5683979.529296875,2461121.4995117188,14952.47265625,13496372.625,0,0,309154.6796875,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5056327.0625,2,,,,,,,,,,,
88644,2025,1,2,79,80,1,128239.71875,415521.9375,3125.158935546875,0.0,34661184.920410156,6221279.093456268,220569.046875,42537464.82450867,0,0,70255.48303222656,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,69816816.0,2,15.0,,,,,,,,,,
88645,2025,1,1,82,0,0,0.0,0.0,0.0,0.0,3897.5146484375,778.0552978515625,0.0,1342.43896484375,0,0,15825.841796875,14501.719101123594,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88646,2025,1,1,28,0,0,44159.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88647,2025,1,1,71,0,0,29071572.0,178268.359375,0.0,0.0,1114062.375,375184.34375,5301.95556640625,1129818.25,0,0,270668.4375,25485.269662921346,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1520761.75,2,,,,,,,,,,,
88648,2025,1,1,72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-54.23995590209961,0.0,0,0,0.0,24271.685393258424,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88649,2025,1,1,85,0,0,11277.2529296875,0.0,0.0,0.0,50831.22265625,33244.18359375,569.51953125,702949.8125,0,0,53528.58203125,21635.10205992509,0.0,0.0,0,0.0,0.0,0,0.0,0.0,47134.48046875,2,,,,,,,,,,,
