taxsimid,year,state,fiitax,siitax,fica,tfica,v10,v11,v12,v13,v14,v17,qbid,niit,v18,v19,v22,v24,v25,v26,v27,v28,v29,v32,v34,v35,v36,srebate,v37,v38,v39,v40,v42,v43,v44,actc,cares,frate,srate,pe_al_agi,pe_al_standard_deduction,pe_al_itemized_deductions,pe_al_deductions,pe_al_federal_income_tax_deduction,pe_al_personal_exemption,pe_al_dependent_exemption,pe_al_retirement_exemption,pe_al_taxable_income,pe_al_income_tax_before_non_refundable_credits,pe_al_non_refundable_credits,pe_al_income_tax_before_refundable_credits,pe_al_refundable_credits,pe_al_income_tax,pe_adjusted_gross_income,pe_income_tax_before_credits,pe_income_tax_capped_non_refundable_credits,pe_net_investment_income_tax,pe_income_tax_before_refundable_credits,pe_eitc,pe_american_opportunity_credit,pe_refundable_ctc,pe_income_tax_refundable_credits,pe_income_tax,pe_recapture_of_investment_credit,pe_unreported_payroll_tax,pe_qualified_retirement_penalty,pe_tax_unit_taxable_social_security,pe_tax_unit_social_security,pe_taxable_pension_income
88238,2025,1,0.0,500.77,568.48,284.24,22077.99,0.0,762.61,17750.0,0.0,913.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,284.24,15315.39,3000.0,284.24,10815.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.88,0.0,0.0,0.0,5.0,15315.386,3000.0,284.24017,4500.0,0.0,1500.0,0.0,6000.0,10815.386,500.7693,0.0,500.7693,0.0,500.7693,22077.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.6084,10419.663,17222.240234375
88239,2025,1,70419.04,15782.32,18415.95,9207.98,441611.1,0.0,29737.72,34700.0,0.0,21700.55,13110.57,7281.22,393800.47,34581.52,0.0,0.0,0.0,428500.47,0.0,63137.83,9207.98,399873.38,5000.0,9207.98,317246.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.3,0.0,0.0,383.7812,-14.5732,399873.38,5000.0,9207.977,82627.02,70419.05,3000.0,0.0,12000.0,317246.34,15782.317,0.0,15782.317,0.0,15782.317,441611.06,63137.83,0.0,7281.22,70419.05,0.0,0.0,0.0,0.0,70419.05,0.0,0.0,0.0,29737.719,34985.55,24577.451171875
88240,2025,1,1514.06,1736.3,0.0,0.0,64387.96,0.0,17347.87,17750.0,0.0,3029.4,365.45,0.0,40272.52,1514.06,0.0,0.0,0.0,58022.52,0.0,1514.06,0.0,41040.09,2500.0,0.0,35526.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.2,41040.094,2500.0,0.0,5514.0586,1514.0585,1500.0,0.0,6000.0,35526.035,1736.3018,0.0,1736.3018,0.0,1736.3018,64387.965,1514.0585,0.0,0.0,1514.0585,0.0,0.0,0.0,0.0,1514.0585,0.0,0.0,0.0,17347.871,20409.26,16291.3076171875
88241,2025,1,-205.84,0.0,92.63,46.31,-2734.41,0.0,0.0,23625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.84,23625.0,0.0,0.0,46.31,-3260.01,5200.0,567.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78,0.0,0.0,-34.0,0.0,-3260.0059,5200.0,567.91486,9200.0,0.0,3000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2734.409,0.0,0.0,0.0,0.0,205.83955,0.0,0.0,205.83955,-205.83955,0.0,0.0,0.0,0.0,0.0,0.0
88242,2025,1,29029.8,8657.09,27736.13,14501.46,220639.69,0.0,0.0,31500.0,0.0,10651.98,4958.82,0.0,184180.84,26205.53,0.0,0.0,0.0,215680.84,0.0,29029.8,14501.46,221273.06,5000.0,14501.46,174741.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2508.53,0.0,0.0,22.0059,3.5166,221273.06,5000.0,14501.458,46531.254,29029.797,3000.0,0.0,0.0,174741.81,8657.091,0.0,8657.091,0.0,8657.091,220639.67,29029.797,0.0,0.0,29029.797,0.0,0.0,0.0,0.0,29029.797,0.0,0.0,0.0,0.0,0.0,3646.949462890625
88243,2025,1,0.0,0.0,2373.41,1186.71,-597487.5,0.0,0.0,31500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,0.0,0.0,1186.71,-7698928.5,8500.0,1.2330152e+06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.93,0.0,0.0,0.0,0.0,-7.6989285e+06,8500.0,1.2330152e+06,1.2360152e+06,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-597487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88244,2025,1,1.253897e+07,1.642052e+06,101404.09,66543.1,4.546494e+07,0.0,17192.44,17750.0,0.0,10000.0,4.6437325e+06,776316.2,4.0803456e+07,7.8901275e+06,0.0,0.0,0.0,4.082121e+07,0.0,11762652.75,66543.1,45448852.0,2500.0,66543.1,32841840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41414.09,0.0,0.0,1.7182169e+06,-85906.0,4.5448852e+07,2500.0,66543.1,1.2607012e+07,1.2538969e+07,1500.0,0.0,6000.0,3.284184e+07,1.642052e+06,0.0,1.642052e+06,0.0,1.642052e+06,4.546494e+07,1.1762653e+07,0.0,776316.1,1.2538969e+07,0.0,0.0,0.0,0.0,1.2538969e+07,0.0,0.0,0.0,17192.443,20226.404,148483.640625
88245,2025,1,5.066126e+06,653481.1,226563.84,187197.27,1.833304e+07,0.0,44023.08,34700.0,0.0,10000.0,1.0493245e+06,419123.75,1.7249016e+07,2.6950065e+06,0.0,0.0,0.0,1.7283716e+07,0.0,4647002.0,187197.27,18327546.0,5000.0,187197.27,13071222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75219.36,0.0,0.0,388287.0,-19409.438,1.8327546e+07,5000.0,187197.27,5.2563235e+06,5.066126e+06,3000.0,0.0,12000.0,1.3071222e+07,653481.1,0.0,653481.1,0.0,653481.1,1.833304e+07,4.647002e+06,0.0,419123.75,5.066126e+06,0.0,0.0,0.0,0.0,5.066126e+06,0.0,0.0,0.0,44023.08,51791.855,50864.73046875
88246,2025,1,0.0,0.0,0.0,0.0,6753.24,0.0,0.0,17750.0,0.0,639.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,753.24,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.24274,3000.0,0.0,4500.0,0.0,1500.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,6753.2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18130.213,6260.51708984375
88247,2025,1,29363.21,8096.71,32027.14,16013.57,211911.06,0.0,0.0,31500.0,0.0,10215.55,0.0,0.0,180411.06,29030.59,0.0,0.0,0.0,211911.06,0.0,29363.21,16013.57,211911.06,5000.0,16013.57,163534.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.25,0.0,0.0,22.0,3.5176,211911.06,5000.0,16013.57,48376.78,29363.21,3000.0,0.0,0.0,163534.28,8096.714,0.0,8096.714,0.0,8096.714,211911.06,29363.21,0.0,0.0,29363.21,0.0,0.0,0.0,0.0,29363.21,0.0,0.0,0.0,0.0,0.0,0.0
88248,2025,1,0.0,0.0,0.0,0.0,105.57,0.0,0.0,34700.0,0.0,105.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34700.0,0.0,0.0,0.0,105.57,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.56896,8500.0,0.0,11500.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.56896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53324.156,0.0
88249,2025,1,0.0,0.0,0.0,0.0,-613000.0,0.0,0.0,31500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,0.0,0.0,0.0,-5188607.0,8500.0,830177.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.188607e+06,8500.0,830177.1,834177.1,0.0,3000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-613000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88250,2025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15750.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.825,0.0,0.0,3000.0,0.0,4500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6129.2134,0.0
88251,2025,1,0.0,0.0,0.0,0.0,-613000.0,0.0,0.0,34700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34700.0,0.0,0.0,0.0,-7754484.5,8500.0,1.2407175e+06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.7544845e+06,8500.0,1.2407175e+06,1.2437175e+06,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-613000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36775.28,0.0
88252,2025,1,89931.5,15618.62,35016.17,17706.71,494852.28,0.0,62257.49,34700.0,0.0,24362.61,8609.79,3322.07,451542.47,74184.82,0.0,0.0,0.0,486242.47,0.0,86609.43,17706.71,424610.59,5000.0,17706.71,313972.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662.26,0.0,0.0,1380.6016,-64.1846,424610.6,5000.0,17706.71,110638.21,89931.5,3000.0,0.0,7984.1826,313972.38,15618.619,0.0,15618.619,0.0,15618.619,494852.28,86609.43,0.0,3322.0679,89931.5,0.0,0.0,0.0,0.0,89931.5,0.0,0.0,0.0,62257.49,73244.1,7984.1826171875
88253,2025,1,-512.54,0.0,1025.08,512.54,3699.86,0.0,0.0,31500.0,0.0,569.06,0.0,0.0,0.0,0.0,0.0,0.0,512.54,31500.0,0.0,0.0,512.54,-3690.9,8500.0,1103.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.15,0.0,0.0,-7.65,0.0,-3690.8975,8500.0,1103.0828,11500.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3699.8584,0.0,0.0,0.0,0.0,512.5392,0.0,0.0,512.5392,-512.5392,0.0,0.0,0.0,0.0,0.0,0.0
88254,2025,1,0.0,0.0,0.0,0.0,-308000.0,0.0,0.0,15750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15750.0,0.0,0.0,0.0,-8873946.0,3000.0,1.4198314e+06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.873946e+06,3000.0,1.4198314e+06,1.4213314e+06,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-308000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88255,2025,1,1262.06,2903.55,6701.92,3350.96,82478.67,0.0,13545.56,34700.0,0.0,3743.93,19.11,0.0,35759.57,1262.06,0.0,0.0,0.0,70459.56,0.0,1262.06,3350.96,68933.11,5000.0,3350.96,59671.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.15,0.0,0.0,10.0,4.5,68933.11,5000.0,3350.96,9262.061,1262.0612,3000.0,0.0,0.0,59671.047,2903.5522,0.0,2903.5522,0.0,2903.5522,82478.67,1262.0612,0.0,0.0,1262.0612,0.0,0.0,0.0,0.0,1262.0612,0.0,0.0,0.0,13545.5625,15935.955,0.0
